Date,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Age Unknown,Cases - Female,Cases - Male,Cases - Unknown Gender,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Cases - Unknown Race/Ethnicity,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Age Unknown,Deaths - Female,Deaths - Male,Deaths - Unknown Gender,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Deaths - Unknown Race/Ethnicity,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Age Unknown,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Unknown Gender,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx,Hospitalizations - Unknown Race/Ethnicity
11/15/2020,807,12,107,83,185,156,135,109,82,32,24,1,424,381,2,202,21,104,200,46,234,0,0,0,0,0,6,2,4,0,7,5,0,5,1,4,1,0,1,4,6,8,14,14,21,24,16,0,52,55,0,38,2,38,18,3,8
4/22/2020,"1,056",45,151,33,170,169,168,207,150,65,94,0,518,480,58,430,23,230,102,45,226,0,0,3,2,5,15,8,12,0,20,25,0,8,0,27,9,1,0,1,5,10,29,25,35,20,26,0,70,80,1,47,4,62,25,12,1
9/29/2020,375,6,32,46,103,71,64,45,25,17,4,0,194,179,2,163,14,44,78,16,60,0,0,1,0,0,3,1,1,0,2,4,0,3,0,2,1,0,0,1,3,5,2,6,5,6,4,0,18,14,0,13,2,10,5,1,1
11/17/2020,"2,377",18,126,260,563,478,370,332,220,104,49,1,"1,226","1,136",15,787,56,322,361,96,755,0,0,0,0,4,8,2,4,0,6,12,0,9,0,5,4,0,0,3,6,10,11,18,32,30,16,0,61,65,0,37,3,52,16,5,13
5/5/2020,"1,091",57,155,54,206,206,218,206,125,49,27,0,550,502,39,489,17,162,96,49,278,0,1,1,1,0,10,17,27,0,26,31,0,17,5,21,13,0,1,2,12,13,18,37,34,22,17,0,74,80,1,55,7,56,24,12,1
9/15/2020,348,1,26,54,97,68,47,40,26,13,3,0,185,163,0,156,5,46,84,11,46,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,4,5,5,6,3,0,13,13,0,8,1,11,4,0,2
10/10/2020,421,5,44,39,106,104,65,58,31,8,10,0,219,201,1,137,9,48,107,19,101,0,0,0,0,1,2,1,1,0,3,2,0,0,1,2,2,0,0,0,3,4,4,8,5,10,10,0,17,27,0,11,0,15,13,2,3
6/1/2020,236,21,63,21,51,35,34,35,17,17,26,0,136,99,1,87,8,50,36,12,43,0,0,0,1,2,4,4,10,0,12,9,0,6,1,10,3,0,1,2,4,11,6,9,7,11,13,0,28,35,0,18,1,27,11,1,5
3/18/2020,162,1,40,2,31,32,40,23,18,11,5,0,80,82,0,19,8,64,62,3,6,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,6,8,9,9,6,0,12,28,0,6,3,23,7,0,1
7/16/2020,295,2,27,27,87,67,42,31,22,10,9,0,155,139,1,93,3,78,57,12,52,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,1,0,0,0,8,2,5,4,3,3,2,0,13,14,0,8,1,12,4,1,1
